"Author","Title","Publisher","Date","Pages","Library","Location","Internet (eBooks)","Notes","id"
"Ross, Melissa W.","Prophetic Truths in Verse","Syracuse, NY: n.p.",1909,"76 pp.","A,B","WE",,,1251
"Rotherham, Joseph B.","Our Sacred Books","London: H.R. Allenson",1903,"64 pp.","C","AU",,,1252
"Rotherham, Joseph B.","The New Testament: Newly Translated and Critically Emphasized","NY: Fleming H. Revell Co.",1895,"492 pp.","B","WE, AU, LSU","Goo",,1253
"Ruffner, William Henry (ed.)","Lectures on the Evidences of Christianity: Delivered at the Univ. of Virginia, . . . 1850-1851","NY: Robert Carter and Bros.",1852,"606 pp.","C","AU","Arch,Goo",,1254
"Rupert, Greenberry G.","The Inspired History of the Nations","Oklahoma City: Old Testament Union Publishing Co.",1902,"749 pp.","B","WE, LLU",,,1255
"Russell, Edgar T.","The Conflict Between Capital and Labor","Washington, D.C.: Review and Herald","c.1905, 1912","208 pp.","B","SDA, WE",,"2 copies on inventory",1256
"Russell, Michael","A Connected of Sacred and Profane History from the Death of Joshua to the Decline of the Kingdoms of Israel and Judah","London: C. & J. Rivington","1827-37","3 Vols.","C","AU, LLU","Goo,Arch",,1257
"Rutherfurd, Samuel","The Divine Right of Church-Government and Excommunication","London: John Field for Christopher Meredith",1646,"656 pp.","B","WE, Harv., Calvin, UCLA",,,1258
"Ryan, Vincent W.","Lectures in Exposition of the Book of the Prophet Amos","London: Seeleys",1850,"242 pp.","C","Bethel",,"Only 4 U.S. libraries have this",1259
"Sadler, William S.","The Physiology of Faith and Fear; or, The Mind in Health and Disease","Chicago: A.C. McClurg and Co.",1912,"580 pp.","C","SDA",,,1260
"Salmon, David","Art of Teaching","London: NY, Longmans, Green and Co.",1898,"289 pp.","B","LC, AU","Goo",,1261
"Sanders, Frank K., and Charles F. Kent","The Messages of the Earlier Prophets (""Messages of the Bible, "" Vol. 1)","Phila.: J.D. Wattles and Co.",1898,"304 pp.","C","AU, LSU, PUC","Goo",,1262
"Sandhurst, Phillip T.","The Table Book of Art; a History of Art in All Countries and Ages","San Fran.: A. Roman & Co.",1879,"248 pp.","B","LC, AU, Princeton","Arch",,1263
"Sayce, Archibald H.","Assyria, Its Princes, Priests, and People","London: The Religious Tract Society",1885,"194 pp.","C","Wea, AU, PUC","Goo",,1264
"Sayce, Archibald H.","Fresh Light from the Ancient Monuments","London: The Religious Tract Society",1890,"160 pp.","C","Wea, AU, LLU, LSU","Goo",,1265
"Sayce, Archibald H.","Lectures on the Origin and Growth of Religion as Illustrated by the Religion of the Ancient Babylonians","London: Edinburgh, Williams and Norgate",1887,"558 pp.","C","AU, LSU, PUC","Goo",,1266
"Sayce, Archibald H.","Monument Facts and Higher Critical Fancies","NY: Fleming H. Revell Co.",1904,"127 pp.","C","Wea, AU, LLU, LSU","Arch",,1267
"Sayce, Archibald H.","Patriarchal Palestine","London: Soc. for Promoting Christian Knowledge; NY, E. and J.B. Young and Co.",1895,"277 pp.","C","Wea, AU, LLU","Goo",,1268
"Sayce, Archibald H.","The ""Higher Criticism"" and the Verdict of the Monuments","London: Soc. for Promoting Christian Knowledge; NY: E. and J.B. Young and Co.",1894,"575 pp.","C","Wea, AU, LLU, LSU","Goo",,1269
"Sayce, Archibald H.","The Early History of the Hebrews","London: Rivingtons",1897,"492 pp.","C","AU","Goo",,1270
"Sayce, Archibald H.","The Life and Times of Isaiah as Illustrated by Contemporary Monuments","NY: Fleming H. Revell Co.; London: The Rel. Tract Society",1890,,"C","AU, LLU, LSU Arch",,,1271
"Schafer, Ernst","Spanischer Protestantismus und Inquisition (German and Spanish)","Gutersloh: C. Bertelsmann",1902,"3 Vols.","B",,"Goo","AU has 1969 reprint",1272
"Schaff, Philip","The Person of Christ","NY: American Tract Society",1865,"375 pp.","A","WEa, AU, LSU","Hathi",,1273
"Schrader, Eberhard","The Cuneiform Inscriptions and the Old Testament, tr. O.C. Whitehouse","London: Edinburgh, Williams and Norgate","1885-88","2 Vols.","C","AU","Goo",,1274
"Scott, Anna M.","Day Dawn in Africa; or, Progress of the Protestant Episcopal Mission at Cape Palmas, W. Africa","NY: Protestant Episc. Soc. for the Prom. of Evang. Knowl.",1858,"314 pp.","(B)","WE, AU","Goo",,1275
"Scott, Sir Walter","The Life of Napoleon Buonaparte, Emperor of the French","Phila.: Carey, Lea & Carey",1827,"3 Vols.","B","AU","Goo,MOA","also publ. at Exeter, NH, 1834",1276
"Scott, Walter","Story of Our English Bible, 3rd ed.","Glasgow: Pickering & Inglis","n.d.","206 pp.","C","Wea, UTSva, Biola",,,1277
"Scott, William A.","The Giant Judge; or The Story of Samson","San Francisco: Whitton, Towne & Co.",1858,"324 pp.","A","LC, AU","MOA",,1278
"Scrivener, Frederick H.A.","A Plain Introduction to the Criticism of the New Testament for the Use of Biblical Students, 3rd ed.","Cambridge, Eng.: Deighton, Bell",1883,"712 pp.","C","AU, LSU","MOA","1st publ. 1861",1279
"Scrivener, Frederick H.A.","The Authorized Edition of the English Bible, (1611), Its Subsequent Reprints and Modern Representatives","Cambridge: The University Press",1884,"312 pp.","C","AU, PUC","Goo",,1280
"Sears, Barnas","The Life of Luther; with Special Reference to its Earlier Periods","Phila.: American Sunday-School Union",1850,"486 pp.","A,B","WE, AU","Arch","2 copies",1281
"Segur, Mgr. Louis","Plain Talk About the Protestantism of To-day","Boston: Thomas B. Noonan and Co.",1868,"243 pp.","(B)","WE, AU, LLU","Goo",,1282
"Seiss, Joseph A.","Ecclesia Lutherana: A Brief Survey of the Evangelical Lutheran Church","Phila.: Lutheran Bookstore",1867,"276 pp.","A","WE, AU, LSU, Duke","Goo",,1283
"Seiss, Joseph A.","The Last Times; an Earnest Discussion of Momentous Themes, 2nd ed.","Baltimore: T.N. Kurtz",1859,"324 pp.","C","AU, LLU, LSU","Goo",,1284
"Sharpe, Samuel","The History of the Hebrew Nation and Its Literature, 4th ed.","London: Edinburgh, Williams and Norgate",1882,"455 pp.","C","Wea, LC, UMich","Goo",,1285
"Sherring, Matthew A.","The History of Protestant Missions in India from their Commencement in 1706 to 1871","London: The Religious Tract Society",1884,"463 pp.","C","LC, LSU","Goo","1st publ. 1875",1286
"Sherwood, J. M.","Memoirs of Rev. David Brainerd, Missionary to the Indians of North America","NY, London: Funk & Wagnalls",1884,"354 pp.","(B)","WE, AU","Goo",,1287
"Shew, Joel","The Water-Cure Manual","NY: Fowlers and Wells",1852,"284 pp.","(B)","WE, AU, LLU, LSU","Goo",,1288
"Shimeall, Richard C.","Age of the World, as Founded on the Sacred Records, Historic and Prophetic; and the ""Signs of the Times;""...","NY: Swords, Stanford & Co.",1842,"364 pp.","C","AU","Goo",,1289
"Sill, John M.B.","Practical Lessons in English, Made Brief by the Omission of Non-essentials","NY: Chicago, A.S. Barnes & Co.",1880,"202 pp.","B","NYPL, AU","Goo",,1290
"Simons, Michael L.","Sunday Half-hours with the Great Preachers","Phila.: Porter & Coates","c. 1871","846 pp.","A","WE, UTS","Hathi",,1291
"Sinker, Robert","Hezekiah and His Age","London: Eyre and Spottiswoode",1897,"184 pp.","B","WE, AU","Arch",,1292
"Smith, Daniel D.","Lectures on Domestic Duties","Portland, Maine: S.H. Colesworthy",1837,"160 pp.","A","LC, Harv., BYU","Goo",,1293
"Smith, George A.","The Assyrian Eponym Canon;...","London: S. Bagster and Sons",1875,"206 pp.","C","AU","Arch",,1294
"Smith, George A.","The Gentile Nations; or the History and Religion of the Egyptians","NY:Carlton & Phillips",1855,"663 pp.","C","AU","Goo",,1295
"Smith, George A.","The Hebrew People","NY: Carlton & Porter",1849,"614 pp.","C","Wea, AU, LSU","Goo",,1296
"Smith, George A.","The Historical Geography of the Holy Land, Especially in Relation to the History of Israel and the Early Church","London: Hodder and Stoughton",1894,"692 pp.","C","Wea, AU, LSU, PUC","Goo",,1297
"Smith, George A.","The Life of Alexander Duff","NY: A.C. Armstrong",1880,"2 Vols.","C","AU","Goo",,1298
"Smith, James","Believer's Triumph","NY: Thomas Nelson and Sons",1863,"302 pp.","A","Cambr.","Goo",,1299
"Smith, James","Important Questions","Boston: American Tract Society","186?","64 pp.","A","LC","Goo",,1300
"Smith, Rebecca","Poems: With a Sketch of the Life and Experience of Annie R. Smith","Manchester, NH: J. B. Clarke",1871,"152 pp.","B","SDA, WE",,,1301
"Smith, Seba","Dew-drops of the Nineteenth Century.","NY: Lamport, Blakeman, and Law",1854,"216 pp.","A","Col.U","Goo","spine title: ""Dew Drops""",1302
"Smith, Thornley","The Prophet of Sorrow; or, The Life and Times of Jeremiah","London: Wesleyan Conf. Off.",1875,"298 pp.","C","UTS, Drew","Goo","Only 3 U.S. libraries have this",1303
"Smith, Uriah","Bible Reading Gazette","Battle Creek, Mi.: Bible-Reading Bureau",1884,"unpaged","B","SDA,WE",,,1304
"Smith, Uriah","Here and Hereafterm or, Man in Life and Death","Washington, D.C.: Review and Herald","1915?","357 pp.","B","SDA, WEa",,"""Berean Library"" No.8 (2 copies)",1305
"Smith, Uriah","Man's Nature and Destiny [pamphlet]",,,,,"SDA",,"Also, 5th ed., 1893, (B), WE",1306
"Smith, Uriah","Man's Nature and Destiny, or, The State of the Dead, the Reward of the Righteous, and the End of the Wicked","Battle Creek, Mi.: Review and Herald",1884,"443 pp.","A","SDA, WE",,"Pamphlet",1307
"Smith, Uriah","Modern Spiritualism",,,,"C","SDA",,,1308
"Smith, Uriah","Synopsis of Present Truth","Battle Creek, Mi.: S.D.A Publ. Assoc.",1884,"333 pp.","C","SDA, WE",,,1309
"Smith, Uriah","The Sanctuary and the Twenty-three Hundred Days of Daniel VIII, 14","Battle Creek, Mi.: Steam Press",1877,"352 pp.","B","SDA, WE",,"Spine title: The Sanctuary and Its Cleansing",1310
"Smith, Uriah","The United States in Prophecy, 3rd ed.","[SDA]",1876,,"B","SDA",,"2 copies",1311
"Smith, Uriah","The United States in the Light of Prophecy",,,,"C","SDA",,"Pamphlet",1312
"Smith, Uriah","The United States in the Light of Prophecy, 4th ed.","Battle Creek, Mi.: S.D.A. Publ. Assoc.",1883,"225 pp.","(A),(B)","SDA, WE",,,1313
"Smith, Uriah","The Warning Voice of Time and Prophecy","Rochester, N.Y.: J. White",1853,"110 pp.","(B)","SDA, WE",,,1314
"Smith, Uriah","Thoughts on Daniel and the Revelation","[SDA]",,,"B","SDA",,"2 copies",1315
"Smith, Uriah","Thoughts, Critical and Practical, on the Book of Daniel, 2nd ed.","Battle Creek, Mi.: S.D.A. Publ. Assoc.",1881,"416 pp.","A,B","SDA, WE",,"Also, 1873 ed., 383 pp.",1316
"Smith, Uriah","Thoughts, Critical and Practical, on the Book of Revelation","Battle Creek, Mi.: Steam Press",1865,"328 pp.","A","SDA, WE",,,1317
"Smith, Uriah","Thoughts, Critical and Practical, on the Book of Revelation, 2nd ed.","Battle Creek, Mi.: S.D.A. Publ. Assoc.",1881,"408 pp.","B","SDA, WE",,,1318
"Smith, Uriah","Thoughts, Critical and Practical, on the Book of Revelation, 3rd ed.","Battle Creek, Mi.: S.D.A. Publ. Assoc.",1881,"412 pp.","A","SDA, WE",,,1319
"Smith, William","Dictionary of the Bible; Comprising Antiquities, Biography, ... rev.","Phila.: A. J. Holman & Co.",1901,,"A,B,C","Wea, AU","Goo,MOA","Many editions",1320
"Smith, William Robertson","The Old Testament in the Jewish Church; Twelve Lectures on Biblical Criticism","Ediburgh: A. & C. Black",1881,"446 pp.","C","Wea, AU, LLU","Goo",,1321
"Smith, William T.","Physiology Primer","Chicago: Iverson, Blakeman, Taylor, & Co.",1885,"146 pp.","A","LC, BPL, OC, AU, LLU","Goo",,1322
"Smith, William, ed.","The Old Testament History, From the Creation to the Return of the Jews from Captivity","NY: Harper & Bros.",1894,"715 pp.","C","Wea, AU, LLU","Goo","Alternate title: The Student's Scripture History",1323
"Smyth, John P.","How We Got Our Bible","NY: J. Pott and Co.",1899,"139 pp.","C","Wea, AU, LLU, LSU","Goo","1st publ. 1886 (many ed.)",1324
"Snow, Charles M.","Religious Liberty in America","Washington, D.C.: Review and Herald Publ. Assoc.",1914,"447 pp.","B","SDA, WE",,"Also ""Berean Library"" no.11, (B)",1325
"Somervell, Robert, ed.","The Parallel History of the Jewish Monarchy","London: C. J. Clay & Sons","1896-97","2 Vols.","C","AU","Goo",,1326
"Sooy, Josephus L.","Bible Talks with Children; Bible Studies for every day in the year...","Chicago: Monarch Book Co.","c.1892","726 pp.","B","Duke, AU",,,1327
"Southern Society for the Promotion of the Study of Race Conditions and Problems in the South","Race Problems in the South","Richmond, Va.: B.F. Johnson Pub. Co.",1900,"240 pp.","B","NYPL, AU",,"Conference report for meeting at Montgomery, AL, May 8-10, 1900",1328
"Southgate, Henry","Many Thoughts of Many Minds; Selections from the Writings of the Most Celebrated Authors from the Earliest to the Present Time","London: C. Griffin and Co.",1870,"682 pp.","A,B,C","AU, UChicago, LC","Goo,DBI","Sev. copies - one copy bound with Carleton's Handbook of Popular Quotations",1329
"Sprague, Ira G.","From Earth to Heaven: or, the Way to Father's House Made Plain","Auburn, Me.: Androscoggin Printing House",1877,"320 pp.","A","AUC, BostonU",,"see also Graves, A.P., From Earth to Heaven (1877)",1330
"Spurgeon, Charles H.","Sermons of the Rev. C. H. Spurgeon","NY: Sheldon, Blakeman & Co.",1857,"383 pp.","A,H","WE, AU, LLU","Goo",,1331
"Stalker, James","The Life of St. Paul","NY: American Tract Society",1888,"183 pp.","C","Wea, AU, LLU, LSU","Goo",,1332
"Stall, Sylvanus","How to Pay Church Debts, and How to Keep Churches Out of Debt","NY: I.K. Funk and Co.",1881,"280 pp.","A","UTSva",,,1333
"Stanley, Arthur P.","Lectures on the History of the Eastern Church","NY: Charles Scribner",1862,"551 pp.","(A),B","WE, AU, LLU, LSU","Goo,MOA,Arch",,1334
"Stanley, Arthur P.","Sinai and Palestine, in Connection with Their History","NY: Redfield",1857,"535 pp.","C","Wea, AU, LSU","Goo","(1910 ed.)",1335
"Stanley, Arthur P.","The History of the Jewish Church","NY: C. Scribner's Sons",1879,"3 Vols.","C","Wea, AU, LSU","Arch","(1906 ed.)",1336
"Stearns, O.S.","A Syllabus of the Messianic Passages in the Old Testament","Boston: Press of Percival T. Bartlett",1884,"79 pp.","B","WE, UTS, Fuller","Arch",,1337
"Steinmetz, Andrew","History of the Jesuits: From the Foundation of their Society to Its Suppression by Pope Clement XIV","Phila.: Lea & Blanchard",1848,"468 and 479 pp.","B","WE, AU, LSU","Goo","2 Vols.",1338
"Stephenson, J.M.","The Atonement","Rochester, NY: Advent Review Office",1854,,"B","SDA, WE",,"(bound with 3 other pamphlets)",1339
"Stevens, Abel","The Great Reform: A Prize Essay on the Duty and the Best Method of Systematic Beneficence in the Church","NY: Carlton & Phillips",1856,"126 pp.","B","WE",,,1340
"Stevens, Abel, et al.","Systematic Beneficence; Three Prize Essays","NY: Carlton and Phillips",1856,,"B,H","WE, AU","Hathi",,1341
"Stevens, Prof.","Italian-English Conversation Teacher","Chicago: M.A. Donohue",1905,"128 pp.","B","AU",,,1342
"Stewart, Eliza D.","Memories of the Crusade, 3rd ed.","Chicago, Phila.: H.J. Smith & Co.",1890,"535 pp.","B","LC, AU, LLU, LSU","Arch",,1343
"Stokoe, Thomas H.","Life and Letters of St. Paul","Oxford: Clarendon Press",1902,"113 and 192 pp.","B","WE, Princeton, GTU","Goo","2 Vols.",1344
"Stonard, John","A Commentary on the Vision of Zechariah the Prophet","London: C. and J. Rivington",1824,"461 pp.","C","AU","Goo",,1345
"Stone, Alfred H.","Studies in the American Race Problem","NY: Negro Univ. Press",1969,,"S","AU","Goo,Arch","(reprint of 1908 ed.)",1346
"Storrs, George","An Inquiry: Are the Wicked Immortal? In Six Sermons","NY: The Author",1853,"120 pp.","B","WE, AU","Goo","Google has 1856 4th ed.",1347
"Stoughton, John","Spiritual Heroes; or, Sketches of the Puritans, Their Character and Times","NY: M.W. Dodd",1848,"334 pp.","C","AU","Goo",,1348
"Stowe, Calvin E.","History of the Books of the Bible","Boston: Estes and Lauriat",1886,"583 pp.","A","OhioWesleyan,",,,1349
"Stowe, Calvin E.","Origin and History of the Books of the Bible, Both Canonical and Apocryphal","Hartford, Conn.: Hartford Publ. Co.",1867,"583 pp.","B","Wea, AU, LLU, LSU, PUC","Goo",,1350
"Stowell, Hugh","A Model for Men of Business; or, Lectures on the Character of Nehemiah","London: Hatchard & Co.",1855,"326 pp","C","AU","Goo",,1351
"Stowell, W.H. and D. Wilson","History of the Puritans in England and the Pilgrim Fathers","London: T. Nelson",1844,,"C","WE, AU","Goo",,1352
"Strickland, W.P.","The Light of the Temple","Cincinnati: J. Ernst",1854,"288 pp.","B,H","WE, AU",,,1353
"Strong, James","Exhaustive Concordance of the Bible","NY: Hunt and Eaton",1894,,"B","AU",,,1354
"Strong, James","Irenics: a Series of Essays...","NY: Phillips & Hunt, etc.",1883,"215 pp.","C","UTS, Emory","Goo",,1355
"Strong, Josiah","The Challenge of the City","NY: Young People's Missionary Movement of the U.S. and Canada",1907,"332 pp.","(B)","WE, AU, LSU","Goo",,1356
"Stroud, George M.","A Sketch of the Laws Relating to Slavery in the Several States of the USA, 2nd ed.","Phila.:",1856,"125 pp.","B","AU","Goo,Arch",,1357
"Stuart, Moses","Hints on the Interpretation of Prophecy","Andover, Ma.: Allen, Morrill, and Wardwell, etc.",1842,"194 pp.","C","AU","MOA",,1358
"Stuckley, Lewis","A Gospel-glasse Representing the Miscarriages of English Professors...","London; NY: Robert Carter & Bro., 1852",1667,"495 pp.","C","Emory, PittsSem",,,1359
"Stuttle, Mann, and Robinson","See Avery-Stuttle",,,,,,,,1360
"Sutherland, E.A.","Living Fountains or Broken Cisterns","Battle Creek, Mi.: Review and Herald Publ. Assn.",1900,"427 pp.","A,(B)","SDA, WE",,,1361
"Sutton, Xavier","Clearing the Way","NY: Catholic Book Exchange",1901,"180 pp.","A,B","BostonPL, LuthSem",,"Published in 1913 under the title: What is a Catholic? (Chicago), accessible on Google",1362
"Swasey, William F.","Early Days and Men of California","Mountain View: Pacific Press Publ. Co.",1891,"406 pp.","B","SDA",,,1363
"Syme, J.B., ed.","The Mourner's Friend; or, Sigs of Sympathy for Those Who Sorrow","Worcester, Mass.: S.A. Howland",1852,"180 pp.","A","AU","Goo",,1364
"Tait, Asa O.","Heralds of the Morning","Mountain View, Ca.: Pacific Press Publ. Assoc.",1906,"419 pp.","A","SDA, WE",,,1365
"Tait, Asa O.","Heralds of the Morning: The Meaning of the Social and Political Problems","Mountain View, Cal.: Pac. Press","c.1909","419 pp.","B","SDA, WE",,,1366
"Talmage, Thomas DeWitt","One Thousand Gems: Striking Passages, Incidents, and Illustrations","NY: N. Tibbals & Son",1873,"360 pp.","A","UCLA, UTS, NYPL","Hathi",,1367
"Talmage, Thomas DeWitt","The Abominations of Modern Society","NY: Adams, Victor & Co.",1873,"292 pp.","A,H","WE, AU","Goo",,1368
"Tayler, Charles B.","May You Like It","Phila.: J. Conrad",1822,"272 pp.","A","LC, AU, NYPL","Goo",,1369
"Taylor, Bayard","Colorado: a Summer Trip","NY: G.P. Putnam & Son",1867,"185 pp.","A","AU, LSU (Micro.)",,,1370
"Taylor, Daniel T.","The Coming Earthquake, and the Signs that Betoken its Approach","Boston: Scriptural Tract Repository",1875,"106 pp.","A,B","WE, AU, LLU",,,1371
"Taylor, Daniel T.","The Voice of the Church, on the Coming and Kingdom of the Redeemer","NY: H. L. Hastings",1855,"406 pp.","(A),(B)","WE, AU, LSU","Goo",,1372
"Taylor, Jane","The Contributions of Q.Q. to a Periodical Work","London: B.J. Holdsworth",1824,"2 Vols.","A","AU, NYPL","Arch",,1373
"Taylor, Jeremy","Holy Living and Dying","London: Bohn",1851,"525 pp.","A","AU, LLU","Arch,CCEL","2 copies; full title is: The Rules and Exercises of Holy Living and Holy Dying",1374
"Taylor, Jeremy","The History of the Life and Death of Jesus Christ","London: Routledge, Warne, and Routledge",1860,"714 pp.","B","WE, AU","Goo",,1375
"Taylor, William","Our South American Cousins","NY: Phillips and Hunt",1878,"366 pp.","C","UCLA, GTU","Goo","Many libraries have this",1376
"Taylor, William","Seven Years' Street Preaching in San Francisco","NY: Carlton & Porter",1857,"394 pp.","A","LC, AU","Goo,MOA",,1377
"Taylor, William M.","Elijah the Prophet","NY: Harper & Bros.",1875,"217 pp.","C","Wea, AU, PUC","Goo",,1378
"Taylor, William M.","The Parables of Our Saviour, Expounded and Illustrated","London: Hodder and Stoughton",1889,"445 pp.","B,H","WE, AU, LSU","Goo",,1379
"Teall, Francis Horace","English Compound Words and Phrases (a manual)","NY: Funk and Wagnalls",1892,"309 pp.","C",,"Goo",,1380
"Teall, Francis Horace","Punctuation","NY: D. Appleton",1897,"197 pp.","C","AU","Goo",,1381
"Tegg, Thomas","Chronology; or, The Historian's Companion..., 7th ed.","London: T. Tegg",1831,"324 pp.","C","AU","Goo",,1382
"Thieme, F.W.","Thieme-Preusser: a New and Complete Critical Dictionary of the English and German Languages","Hamburg: Haendcke & Lehmkuhl",1883,"2 Vols.","C",,"Arch",,1383
"Thiers, Adolphe","The History of the French Revolution. By M.A. Thiers, tr. F. Shoberl","Phila.: Carey & Hart",1848,"4 Vols.","C","Wea, AU, LLU, PUC","Goo","Many ed. (1827, 1840, 1854)",1384
"Thiselton, Alfred C.","With the Prophets Joel, Amos, and Jonah","London: Elliot Stock",1888,"319 pp.","C","BL",,"No U.S. library has this",1385
"Thiselton-Dyer, Thomas F.","Domestic Folk-lore","London, NY: Cassell, Petter, Galpin & Co.",1881,"184 pp.","B","AU, UMich","Arch,DBI",,1386
"Thomas a Kempis","Imitation of Christ",,,,"A","AU, LSU","Goo","Many 19th cent. editions",1387
"Thomas, William H.","The American Negro","NY: Macmillan Co.",1901,"440 pp.","S","UCR, AU (micro.","Goo",,1388
"Thompson, A.C.","Christus Consolator; Hymns for the Suffering and Sorrowing","NY: American Tract Society",1869,,"C","AU","Arch",,1389
"Thompson, A.C.","Moravian Missions: Twelve Lectures","NY: Scribner",1886,"516 pp.","S","AU","Goo",,1390
"Thompson, G.B.","The Ministry of the Spirit","Washington, D.C.: Review and Herald Publ. Assn.",1914,"223 pp.","B","SDA, WE",,,1391
"Thompson, George","Palm Land; or, West Africa Illustrated","London: Dawsons",1869,"456 pp.","B","LC, UND, Adrian","Goo","AU has 1969 reprint",1392
"Thompson, Henry A.","The Schools of the Prophets","Dayton: United Brethren Publ. House",1872,,"C","Drew, UnitedLib","Arch",,1393
"Thompson, R. W.","The Papacy and the Civil Power","NY: Nelson and Phillips",1876,"750 pp.","(B)","WE, AU, LLU","Goo,Arch",,1394
"Thomson, William M.","The Land and the Book, or, Biblical Illustrations...","NY: Harper & Bros., Publ.",1876,"2 Vols.","C","Wea, AU","Goo","1st publ. 1859",1395
"Thrasher, Max B.","Tuskegee; Its Story and Its Work","Boston: Small, Maynard & Co.",1901,"215 pp.","B","LC, AU","Goo",,1396
"Tischendorf, Constantine","The New Testament, with Various Readings","Leipzig: B. Tauchnitz",1869,"414 pp.","C","NYPL, AU, LSU","Goo",,1397
"Titcomb, Timothy (pseud.)","see Holland, Josiah G.",,,,,,,,1398
"Todd, James H.","Discourses on the Prophecies Relating to Antichrist in the Writings of Daniel and St. Paul","Dublin: Univ. Press",1840,"546 pp.","C","AU","Goo","Six discourses",1399
"Tonna, Charlotte Elizabeth","Personal Recollections","NY: J.S. Taylor & Co.",1845,"357 pp.","A","AU, Umich, Emory","Arch",,1400
"Torrey, Reuben A.","What the Bible Teaches","Chicago, NY: Fleming H. Revell Co.",1898,"539 pp.","B","LC, AU, LLU, LSU","Arch",,1401
"Townley, James","Illustrations of Biblical Literature Exhibiting the History and Fate of the Sacred Writings...","NY: Carlton & Phillips",1856,"2 Vols.","B","WE, AU","Goo,MOA",,1402
"Trall, Russell T.","The Hydropathic Encyclopedia: A System of Hydropathy and Hygiene, Vol. 1","NY: Fowlers and Wells",1854,"463 pp.","B","WE, AU, LLU, LSU","Goo","1873 ed. also",1403
"Trapp, John","A Commentary on the Old and New Testaments, ed. H. Martin","London: R.D. Dickinson","1867-68","5 Vols.","C","AU",,"Inventory has only OT Vols.",1404
"Tregelles, Samuel P.","An Account of the Printed Text of the Greek New Testament","London: Samuel Bagster",1854,"374 pp.","C","AU","Arch",,1405
"Tregelles, Samuel P.","Heads of Hebrew Grammar","London: S. Bagster & Sons",1852,"126 pp.","C","NYPL, AU, PUC","Hathi",,1406
"Trench, Richard C.","Christ the Desire of All Nations; or, The Unconscious Prophecies of Heathendom","Cambridge: MacMillan, Barclay, and MacMillan",1846,"183 pp.","(B)","WE, AU","Goo",,1407
"Trench, Richard C.","Notes on the Parables of our Lord","NY: Tibbals Book Co.","c1889","393 pp.","A,B,C","Wea, AU, LSU, PUC","Goo","AU has several editions (1851, 1860, 1864, 1893, and an undated one prob. In 1880s)",1408
"Trumbull, Henry C.","A Model Superintendent","NY: Harper & Bros.",1880,"188 pp.","A","Wea, AU","Goo,Arch",,1409
"Tuberville, Henry","Abridgment of the Christian Doctrine","NY: T. W. Strong Catholic Publ. House",1864,"151 pp.","(B)","WE, AU","Goo,Arch",,1410
"Tuck, Robert","The First Three Kings of Israel: an Intro. to the...Reigns of Saul, David, & Sol., Pt. 2","London: Sun. Sch. Un.","1875-6","2 Vols. in 1","B","NYPL, Uchicago","Goo",,1411
"Tweedie, William K.","A Lamp to the Path","Boston: Gould & Lincoln",1855,"240 pp.","A","AU, OC",,"2 copies",1412
"Tweedie, William K.","Ruined Cities of Bible Lands","London: Nelson",1873,"208,193 pp.","A","AU","Goo","Reprint of Ruined Cities in the East, Boston: Amer. Tract Soc., 1860",1413
"Twelve Clergymen","The Scond Coming, the Judgment, the Kingdom of Christ, being Lectures Del'd during Lent, 1843, . . . By twelve clergymen","London: J. Nisbet and Co.",1844,"375 pp.","C","AU","Goo,DBI",,1414
"Tyler, Charles M.","The Island World of the Pacific Ocean","Oakland, Cal.: Pacific Press Publ. Co.","n.d.","300 pp.","B","AU","Goo","Non-SDA book published by SDA press",1415
"Tyler, George E., et al.","A Retrospect and Survey of Mission Work of the Advent Christian Denomination","Boston: American Advent Miss. Society","c.1913","96 pp.","(B)","WE, AU, LLU",,,1416
"Tyso, Joseph","An Elucidation of the Prophecies","London: Wallingford",1838,"281 pp.","C","AU, LSU","Goo",,1417
"Tyso, Joseph","An Inquiry After Prophetic Truth Relative to the Restoration of the Jews and the Millenium","London: Holdsworth and Ball",1831,"248 pp.","C","AU",,,1418
"Underwood, Almon","Millennial Experience; or, God's Will Known and Done","Boston: Henry Hoyt",1860,"379 pp.","A,B,H","WE, AU, LLU",,,1419
"Underwood, R.A.","The Law and the Covenants: An Exposition",,,,"B","SDA",,,1420
"United States Congress","Testimony Taken by the Joint Select Committee . . . (Ku Klux Conspiracy)","Washington, D.C.: U.S. Government Printing Off.",1872,"13 Vols.","B",,,"WE probably had one of the 13 vols., each of which covered a southern state",1421
"United States Dept. of Agriculture","Yearbook",,,,"A",,,,1422
"Ussher, James","Ussher's Annals of the O.T. and N.T. = Annals of the World","London: E. Tyler",1658,"907 pp.","C","AU, Utoronto",,"Half title: Annals of the Old and New Testament",1423
"Valera, Cipriano de.","Two Treatises: The First, Of the Lives of the Popes, and Their Doctrine. The Second, Of the Masse","London: J. Harison",1600,,"B","BL",,"No U.S. library has this",1424
"Van Evrie, John H.","Negroes and Negro Slavery","Washington, D.C.: Alexander, Printer",1853,"400 pp.","B","AU (1867)","Goo,Arch","This was the original 1853 ed. title; 1867 ed. title: White Supremacy and Negro Subordination",1425
"Varley, Henry","Christ's Coming Kingdom; or, The Lord's Reign on Earth","London: Holness",1893,"474 pp.","A,B","OC, WE, AU",,"2 copies",1426
